Date,Region,Crop,Price per kg,Rainfall (mm),Temperature (°C),Fertilizer Cost (PHP/kg),Fuel Price (PHP/liter),Pest Outbreak,Market Demand (1-10)
2023-08-29,Northern Mindanao,Sugarcane,39.23,196.0,31.5,34.61,42.02,No,3
2025-01-17,Eastern Visayas,Banana,51.01,59.9,33.9,30.47,74.84,Yes,3
2024-12-04,Ilocos Region,Coffee,63.48,212.2,35.3,45.17,53.76,Yes,8
2024-04-20,Bicol Region,Garlic,40.4,234.0,28.7,37.75,43.07,No,6
2024-08-23,Western Visayas,Coconut,81.48,252.3,32.9,42.93,63.66,Yes,10
2024-09-30,Cagayan Valley,Pineapple,69.58,201.5,26.5,31.39,65.29,Yes,4
2024-10-10,Bicol Region,Banana,98.63,86.4,35.6,36.68,54.98,Yes,9
2024-06-14,Central Luzon,Garlic,41.43,160.8,31.8,44.04,72.59,No,1
2024-03-31,Eastern Visayas,Tomato,35.74,151.9,33.9,59.56,45.62,Yes,7
2024-10-18,Davao Region,Tobacco,52.5,106.9,27.9,33.43,48.88,No,3
2024-12-10,Cagayan Valley,Tomato,65.3,289.6,31.2,57.32,43.6,Yes,2
2024-03-20,Western Visayas,Coffee,75.86,236.4,29.7,30.02,61.91,No,5
2024-12-26,CALABARZON,Coffee,65.45,242.0,33.3,43.68,59.74,Yes,4
2023-07-02,Central Visayas,Coffee,52.15,113.1,34.3,42.45,66.97,No,5
2024-06-06,Central Luzon,Banana,47.05,92.6,32.6,31.04,42.31,No,5
2025-03-07,Northern Mindanao,Tomato,99.43,248.3,35.8,39.01,48.26,Yes,1
2023-11-12,Zamboanga Peninsula,Coffee,80.4,111.7,35.6,40.83,53.14,No,2
2024-01-11,Central Luzon,Tomato,70.26,104.5,33.9,56.63,62.73,Yes,2
2024-08-10,Eastern Visayas,Coffee,31.6,62.8,28.2,55.09,65.9,No,5
2023-09-13,Western Visayas,Pineapple,53.64,85.0,26.3,45.54,51.41,No,6
2023-10-07,Cagayan Valley,Pineapple,57.72,84.7,30.7,51.14,63.05,No,10
2024-10-05,Ilocos Region,Coconut,73.29,166.5,32.2,30.17,54.95,Yes,2
2025-04-09,Ilocos Region,Pineapple,55.13,91.4,32.9,32.84,72.5,No,5
2023-05-17,Western Visayas,Rice,61.92,232.0,30.3,37.17,59.84,Yes,10
2023-09-19,Cagayan Valley,Sugarcane,70.89,83.0,28.8,57.41,50.23,Yes,5
2023-12-15,Davao Region,Garlic,73.64,78.0,26.1,48.1,43.85,Yes,1
2023-06-24,SOCCSKSARGEN,Sugarcane,94.32,243.2,30.0,50.46,44.82,Yes,9
2025-03-09,Eastern Visayas,Pineapple,76.06,260.1,29.0,32.04,55.43,Yes,4
