iter	RMSE
0	20.19577739
1	20.19128283
2	20.18888729
3	20.18476744
4	20.18424303
5	20.17943449
6	20.17280641
7	20.16686137
8	20.16221795
9	20.15874133
10	20.15550971
11	20.15326024
12	20.15003646
13	20.14589444
14	20.1432965
15	20.13468055
16	20.13209531
17	20.12369763
18	20.12002613
19	20.11713055
20	20.10901236
21	20.10701818
22	20.10101953
23	20.09845448
24	20.09358552
25	20.08921477
26	20.08788659
27	20.08110013
28	20.07699097
29	20.07449356
30	20.06928088
31	20.06526076
32	20.05770701
33	20.05022008
34	20.04494955
35	20.04174391
36	20.03944867
37	20.03281607
38	20.03266658
39	20.02827667
40	20.02817029
41	20.02656156
42	20.02347323
43	20.02194631
44	20.01556256
45	20.0102355
46	20.00681721
47	20.00158099
48	19.99808829
49	19.99521846
50	19.98925931
51	19.98925931
52	19.98783562
53	19.98524311
54	19.97964107
55	19.9718325
56	19.96565477
57	19.95999863
58	19.95800186
59	19.95348035
60	19.95121731
61	19.94546053
62	19.9415542
63	19.93789414
64	19.93612741
65	19.93257054
66	19.92670008
67	19.92670006
68	19.92337927
69	19.91831823
70	19.91089274
71	19.90845536
72	19.90652982
73	19.90283883
74	19.89825304
