iter	Passed	Remaining
0	176	176241
1	229	114445
2	275	91581
3	359	89515
4	379	75491
5	433	71835
6	477	67795
7	524	65071
8	563	62017
9	595	59002
10	647	58185
11	703	57885
12	755	57382
13	819	57719
14	875	57492
15	927	57063
16	982	56802
17	1073	58570
18	1191	61525
19	1243	60919
20	1282	59774
21	1324	58883
22	1370	58218
23	1408	57270
24	1452	56638
25	1494	55984
26	1534	55302
27	1572	54573
28	1621	54282
29	1660	53704
30	1704	53266
31	1755	53110
32	1793	52554
33	1833	52099
34	1875	51700
35	1916	51315
36	1958	50984
37	2000	50649
38	2015	49656
39	2053	49285
40	2082	48714
41	2121	48387
42	2158	48033
43	2198	47766
44	2238	47511
45	2283	47361
46	2320	47050
47	2361	46830
48	2398	46547
49	2453	46613
50	2495	46437
51	2502	45623
52	2545	45487
53	2583	45265
54	2626	45120
55	2669	44997
56	2709	44823
57	2750	44678
58	2798	44632
59	2854	44716
60	2903	44694
61	2944	44543
62	2986	44418
63	3027	44283
64	3064	44082
65	3112	44044
66	3159	44002
67	3167	43412
68	3211	43330
69	3255	43249
70	3301	43192
71	3342	43080
72	3396	43133
73	3458	43274
74	3548	43761
